id,code,ename,fcover,tpop,apop,gdp1,gdp2,gdp3,distpvc,distport,hwaylen,explen,plain,elev,prec,slope,temp,temp0,area,policy
1,360121,nanchangxian,3.10112373,93,74,2820.376344,9743.924731,3898.430108,21260.86,435763.2,28749.55,21419.86,0.922216,19,1569,0.07,17.5,6384.1,188635,0
2,360122,xinjian,39.2854666,67,59,2819.38806,6300.552239,5167.343284,33245.34,453378,13618.6,2173.066,0.666383,30,1521,0.33,17.2,6290,234934,1
3,360123,anyi,23.6652993,26,19,2101.153846,3967.923077,4868.307692,37650.58,489738.7,26491.12,8121.573,0.379204,70,1571,1.49,16.8,6136.3,65605,0
4,360124,jinxian,38.6581921,77,65,2386.662338,6313.792208,3502.142857,46479.27,407609.2,54049.56,16306.07,0.512833,28,1619,0.28,17.5,6423.5,194959,1
5,360222,fuliang,265.250505,27,23,2199.148148,3453.925926,2632.703704,168570.3,366528.5,129787.8,11673.83,0.087788,190,1758,2.91,16,5856.9,329200,0
6,360281,leping,100.085463,82,66,1416.134146,4476.182927,3060.060976,134398.8,350229.9,136160.3,13042.65,0.354071,76,1758,1.17,17.2,6293.6,197469,0
7,360321,lianhua,74.1796868,25,22,1779.12,2168.72,2230.12,145459.7,456557.5,117726.4,2832.978,0.770321,415,1597,4.05,15.8,5798.9,106237,0
8,360421,jiujiangxian,28.6931678,34,28,1678.5,2847.676471,1395.823529,117997.4,479233.4,10452.38,16496.65,0.521064,63,1560,1.14,16.7,6123.9,90523,0
9,360423,wuning,268.3796168,37,30,2268.513514,3056.648649,1918.081081,112969,565695.3,74951.08,25472.63,0.216208,334,1505,4.78,15.1,5544.1,367767,1
10,360424,xiushui,327.317427,81,68,1219.320988,1496.049383,1608.481481,144045.5,584131.4,127865.9,65811.29,0.100323,377,1591,4.59,15,5494.5,433093,1
11,360425,yongxiu,75.1137477,37,27,1935.027027,3713.513514,2621.783784,55455,494856.4,889.1917,5703.932,0.496787,87,1502,1.54,16.6,6072.2,202176,0
12,360426,dean,59.50619129,16,11,1633.75,6457.5,2576.8125,89127.61,516421.3,15470.89,14307.33,0.178494,116,1485,1.92,16.3,5984.5,92628,0
13,360427,xingzi,19.800482,24,21,1350.708333,2136.666667,1785.541667,78095.13,480825.7,14250.17,7044.103,0.456551,112,1486,2.15,16.7,6095.5,72729,0
14,360428,duchang,54.9182676,75,66,949.4533333,1041.906667,1195.946667,88586.58,452304.3,41731.65,24786,0.422535,54,1472,0.98,16.9,6192.5,198116,1
15,360429,hukou,12.502592,28,23,1783.357143,2964.071429,1519.428571,121264.6,463365.2,29369.92,20610.89,0.269461,52,1499,0.94,16.8,6143.5,67073,0
16,360430,pengze,73.976736,35,31,1769.457143,2074.885714,1738.314286,148808.1,443169.7,61330.29,30120.57,0.443432,104,1483,2.04,16,5852.6,154158,1
17,360481,ruichang,69.353543,43,32,1349.302326,4098.651163,1677.093023,116060.1,531240.9,35906.39,26520.28,0.197173,199,1500,3.68,15.8,5779.4,142305,1
18,360521,fenyi,89.0976628,31,21,2352.290323,5865.774194,2488.709677,153270,515896.5,139075.6,25008.58,0.219178,171,1622,1.99,16.7,6115.2,138800,0
19,360621,guixi,168.6157787,54,43,1840.851852,14437.18519,4159.296296,140446,315980.7,147960.9,19900.87,0.319388,215,1817,3.16,16.9,6204.3,247827,0
20,360622,yujiang,38.33193,36,29,1818.888889,1722.222222,1139.055556,105845.2,349950.1,113389.8,3814.192,0.404482,64,1707,0.75,17.3,6341.3,93843,1
21,362121,ganxian,229.203252,58,49,1563.534483,2767.327586,1644.741379,318983.4,349692.3,296383.6,1112.238,0.03439,282,1485,2.94,18.3,6696.2,299088,0
22,362122,nankang,109.6526149,81,72,1320.061728,2177.617284,2101.901235,307572.2,331533.6,274128.7,20248.92,0.166666,244,1470,1.84,18.1,6633.6,184439,0
23,362123,xinfeng,202.304209,69,57,1691.304348,2353.666667,2278.565217,297291.4,287724.9,251037.5,180.8409,0.143105,284,1558,2.16,18.4,6739.5,287875,0
24,362124,dayu,99.288889,29,21,1994.206897,4744.137931,3670.551724,281476.8,273765.6,257823.6,1987.903,0.243636,391,1567,3.76,17.3,6340.6,137220,0
25,362125,shangyou,112.55833,29,25,1818.413793,1901.103448,1682.827586,282884.1,327349.5,247182.2,37537.59,0.028664,454,1518,4.45,17,6212.8,153973,0
26,362126,chongyi,184.306591,20,16,2036.15,4462.15,2675.65,297389,290595.5,268650.2,32393.5,0.022675,556,1561,5.18,16.2,5923.2,219897,0
27,362127,anyuan,205.73383,35,30,1856.914286,965.9142857,1853.114286,325825.5,315428,255965.2,27636.39,0.052675,434,1627,3.12,17.4,6378.2,237519,0
28,362128,longnan,132.789049,31,26,2001.451613,4408.935484,3273.967742,238685.7,228629.3,190558.4,3131.815,0.177899,450,1649,3.5,17.2,6301.8,164084,0
29,362129,dingnan,115.135024,20,17,1817.95,2745.4,2743.2,271027.4,260250.1,207492,30383.55,0.073708,411,1652,2.71,17.6,6438.1,131592,0
30,362130,quannan,126.210276,18,13,2324.333333,3407.333333,2677.555556,231297.5,222291.3,199502.2,29977.37,0.158552,423,1636,3.46,17.4,6370.2,152107,0
31,362131,ningdu,297.36933,74,64,1742.459459,2033.945946,1892.513514,221766.5,353905.6,221633.4,23165,0.121818,366,1671,3,17,6216,404952,0
32,362132,yudu,185.158155,96,76,1093.927083,1833.114583,1579.96875,299744.6,382149.4,297561.5,5927.963,0.11388,290,1561,3.16,18.3,6685.1,289170,0
33,362133,xingguo,245.28279,75,64,1795.173333,1630.64,1469.266667,256266,405052.3,253469.6,10133.49,0.119863,370,1517,3.4,17.4,6347.5,321030,0
34,362134,ruijin,178.201319,62,51,1325.725806,1745.322581,2734.564516,303140.7,341051.6,302809,4089.624,0.135787,335,1643,2.58,17.8,6509.6,244646,0
35,362135,huichang,218.84841,46,39,1759.978261,1283.934783,1687.847826,345549.9,363229.3,269559.8,188.5711,0.074386,366,1636,2.83,18,6596.8,272606,0
36,362136,xunwu,196.106783,30,26,2336.166667,1327.533333,2247.066667,312736.1,301502,210234.6,3516.502,0.075626,488,1663,3.67,17.5,6410.1,231224,0
37,362137,shicheng,103.2077883,30,25,1812.366667,1132.5,1313.466667,264256.9,314307,265620.2,934.1097,0.185768,404,1655,3.09,16.8,6138.3,158533,0
