Point,year,season ,Carcar,Gaenig,Nentri,Elevation ,Slope,CC,CO,Aspect,Soil,LC,PA.sp,PA.other
37,1995,w,28,2,13,370.525,15.825,1,6.25,6,1,3,8,28
40,1995,w,13,2,9,381.225,22.2,1,3,7,1,3,8,22
43,1995,w,4,1,10,393.825,22.95,1,3.5,8,1,1,2,21
46,1995,w,5,1,5,403.35,23.9,1,2.5,8,1,2,18,26
49,1995,w,1,1,1,417.475,24.475,1,4,8,1,4,1,58
88,1995,w,3,3,3,365.05,33.225,1,1.5,7,1,1,0,25
91,1995,w,6,1,1,376.7,28.3,1,3,7,1,2,21,17
94,1995,w,4,2,6,388.35,15.7,1,3.75,8,1,1,19,25
97,1995,w,14,2,0,398.575,20.225,1,6,8,1,2,17,32
100,1995,w,2,1,0,405.1,20.8,1,1.75,1,1,3,16,23
139,1995,w,12,0,20,370.825,25.475,1,2,7,4,4,18,25
142,1995,w,17,3,7,383.875,23.475,1,4.75,8,4,3,3,19
145,1995,w,6,0,8,388.775,20.425,3,2.5,2,4,3,0,48
148,1995,w,24,1,10,392.75,10.95,3,2,6,4,2,4,35
151,1995,w,10,1,13,398.125,14.075,3,5.75,6,4,3,39,42
190,1995,w,31,0,13,362.875,26.35,1,2.75,1,6,3,7,46
193,1995,w,38,3,5,368.725,31.225,3,2.75,1,6,2,1,93
196,1995,w,3,0,5,374.65,36.7,3,3.5,8,4,2,6,88
199,1995,w,2,1,10,386.625,35.475,3,3.5,8,1,1,2,29
202,1995,w,4,0,5,399.275,37.05,3,3.25,7,1,1,0,50
241,1995,w,8,1,6,357.675,20.2,2,1.75,5,1,4,9,24
244,1995,w,11,0,11,366.425,23.625,3,3.75,6,1,5,20,63
247,1995,w,8,0,5,371.575,12.275,3,3.5,7,1,2,14,64
250,1995,w,7,0,18,381.375,35.475,3,4.25,8,1,2,13,68
253,1995,w,7,0,3,407.5,25.85,3,4.25,7,1,3,12,77
292,1995,w,8,1,19,354.875,24.8,2,2.5,1,1,4,4,20
295,1995,w,5,1,8,363.525,27.25,2,5.5,8,1,2,17,49
298,1995,w,7,3,14,371.575,26.475,2,4.5,8,1,3,5,26
301,1995,w,13,1,24,379.325,8.9,2,3,7,1,2,5,54
304,1995,w,12,1,3,395.6,46.05,3,8.75,8,1,2,14,86
